repo,language,lang_type
Loganrdj/portfolio,JavaScript,dynamic
MetricsHub/jawk,Java,static
MrME-CodeSmith/QuoteSwift,C#,static
OpenHFT/Chronicle-Core,Java,static
OpenHFT/JLBH,Java,static
RadicalZephyr/bitburner-scripts,TypeScript,static
TeamEver/everblock,PHP,dynamic
Yusukepkl/I.A-Sarah,Python,dynamic
adrianwedd/personal-intelligence-node,JavaScript,dynamic
alexanderthclark/FreeRide,Jupyter Notebook,other
arran4/dotfiles,Shell,other
bararchy/shainet,Crystal,other
bbuchsbaum/fmrireg,R,dynamic
bozelosp/remod,Python,dynamic
dBinet/SquirrelAttack,,unknown
edinsoncs/suni-coin,TypeScript,static
jdereg/java-util,Java,static
jdereg/json-io,Java,static
jorgesanabria/DBAL,PHP,dynamic
jremillard/osmmapmaker,C++,static
jwiedeman/BlueFrogAnalytics,HTML,other
makhin/PhotoBank,C#,static
noperson83/WBee-appware,Python,dynamic
ohhmm/openmind,C++,static
piotr-gorczynski/Soccer,Java,static
supermarsx/smtp-burst,Python,dynamic
supermarsx/whoisdigger,TypeScript,static
triblespace/tribles-rust,Rust,static
wieslawsoltes/Dock,C#,static
